date,drug_name,units_sold
2023-04-04,Simvastatin 40 mg tablet,1
2023-04-04,Levothyroxine 50 mcg tablet,4
2023-04-04,Omeprazole 20 mg capsule,5
2023-04-04,Famotidine 20 mg tablet,2
2023-04-04,Albuterol HFA inhaler,7
2023-04-04,Fluticasone nasal spray,8
2023-04-04,Cetirizine 10 mg tablet,5
2023-04-04,Amoxicillin 500 mg capsule,4
2023-04-04,Amoxicillin-clavulanate 875/125 mg tablet,4
2023-04-04,Azithromycin 250 mg tablet,3
2023-04-04,Doxycycline 100 mg capsule,0
2023-04-04,Cephalexin 500 mg capsule,4
2023-04-04,Oseltamivir 75 mg capsule,1
2023-04-04,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-04-04,Prednisone 20 mg tablet,5
2023-04-04,Ibuprofen 200 mg tablet,13
2023-04-04,Acetaminophen 500 mg tablet,10
2023-04-04,Naproxen 500 mg tablet,1
2023-04-04,Gabapentin 300 mg capsule,4
2023-04-04,Sertraline 50 mg tablet,4
2023-04-04,Hydrochlorothiazide 25 mg tablet,4
2023-04-04,Insulin glargine 100 units/mL pen,2
2023-04-04,Semaglutide 0.25/0.5 mg pen,0
2023-04-04,Naloxone 4 mg nasal spray,1
2023-04-05,Lisinopril 10 mg tablet,3
2023-04-05,Amlodipine 5 mg tablet,4
2023-04-05,Losartan 50 mg tablet,4
2023-04-05,Metformin 500 mg tablet,9
2023-04-05,Glipizide 5 mg tablet,3
2023-04-05,Atorvastatin 20 mg tablet,9
2023-04-05,Simvastatin 40 mg tablet,7
2023-04-05,Levothyroxine 50 mcg tablet,4
2023-04-05,Omeprazole 20 mg capsule,3
2023-04-05,Famotidine 20 mg tablet,5
2023-04-05,Albuterol HFA inhaler,3
2023-04-05,Fluticasone nasal spray,9
2023-04-05,Cetirizine 10 mg tablet,8
2023-04-05,Amoxicillin 500 mg capsule,2
2023-04-05,Amoxicillin-clavulanate 875/125 mg tablet,5
2023-04-05,Azithromycin 250 mg tablet,4
2023-04-05,Doxycycline 100 mg capsule,3
2023-04-05,Cephalexin 500 mg capsule,2
2023-04-05,Oseltamivir 75 mg capsule,0
2023-04-05,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-04-05,Prednisone 20 mg tablet,0
2023-04-05,Ibuprofen 200 mg tablet,12
2023-04-05,Acetaminophen 500 mg tablet,9
2023-04-05,Naproxen 500 mg tablet,3
2023-04-05,Gabapentin 300 mg capsule,5
2023-04-05,Sertraline 50 mg tablet,4
2023-04-05,Hydrochlorothiazide 25 mg tablet,6
2023-04-05,Insulin glargine 100 units/mL pen,0
2023-04-05,Semaglutide 0.25/0.5 mg pen,0
2023-04-05,Naloxone 4 mg nasal spray,2
2023-04-06,Lisinopril 10 mg tablet,6
2023-04-06,Amlodipine 5 mg tablet,5
2023-04-06,Losartan 50 mg tablet,5
2023-04-06,Metformin 500 mg tablet,5
2023-04-06,Glipizide 5 mg tablet,4
2023-04-06,Atorvastatin 20 mg tablet,9
2023-04-06,Simvastatin 40 mg tablet,4
2023-04-06,Levothyroxine 50 mcg tablet,7
2023-04-06,Omeprazole 20 mg capsule,8
2023-04-06,Famotidine 20 mg tablet,3
2023-04-06,Albuterol HFA inhaler,4
2023-04-06,Fluticasone nasal spray,10
2023-04-06,Cetirizine 10 mg tablet,6
2023-04-06,Amoxicillin 500 mg capsule,6
2023-04-06,Amoxicillin-clavulanate 875/125 mg tablet,5
2023-04-06,Azithromycin 250 mg tablet,1
2023-04-06,Doxycycline 100 mg capsule,2
2023-04-06,Cephalexin 500 mg capsule,4
2023-04-06,Oseltamivir 75 mg capsule,0
2023-04-06,Nirmatrelvir/ritonavir 300/100 mg pack,3
2023-04-06,Prednisone 20 mg tablet,3
2023-04-06,Ibuprofen 200 mg tablet,11
2023-04-06,Acetaminophen 500 mg tablet,15
2023-04-06,Naproxen 500 mg tablet,2
2023-04-06,Gabapentin 300 mg capsule,5
2023-04-06,Sertraline 50 mg tablet,3
2023-04-06,Hydrochlorothiazide 25 mg tablet,5
2023-04-06,Insulin glargine 100 units/mL pen,1
2023-04-06,Semaglutide 0.25/0.5 mg pen,0
2023-04-06,Naloxone 4 mg nasal spray,0
2023-04-07,Lisinopril 10 mg tablet,9
2023-04-07,Amlodipine 5 mg tablet,8
2023-04-07,Losartan 50 mg tablet,9
2023-04-07,Metformin 500 mg tablet,8
2023-04-07,Glipizide 5 mg tablet,2
2023-04-07,Atorvastatin 20 mg tablet,5
2023-04-07,Simvastatin 40 mg tablet,3
2023-04-07,Levothyroxine 50 mcg tablet,6
2023-04-07,Omeprazole 20 mg capsule,9
2023-04-07,Famotidine 20 mg tablet,7
2023-04-07,Albuterol HFA inhaler,3
2023-04-07,Fluticasone nasal spray,7
2023-04-07,Cetirizine 10 mg tablet,4
2023-04-07,Amoxicillin 500 mg capsule,5
2023-04-07,Amoxicillin-clavulanate 875/125 mg tablet,2
2023-04-07,Azithromycin 250 mg tablet,5
2023-04-07,Doxycycline 100 mg capsule,1
2023-04-07,Cephalexin 500 mg capsule,5
2023-04-07,Oseltamivir 75 mg capsule,0
2023-04-07,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-04-07,Prednisone 20 mg tablet,0
2023-04-07,Ibuprofen 200 mg tablet,9
2023-04-07,Acetaminophen 500 mg tablet,9
2023-04-07,Naproxen 500 mg tablet,5
2023-04-07,Gabapentin 300 mg capsule,5
2023-04-07,Sertraline 50 mg tablet,10
2023-04-07,Hydrochlorothiazide 25 mg tablet,9
2023-04-07,Insulin glargine 100 units/mL pen,2
2023-04-07,Semaglutide 0.25/0.5 mg pen,0
2023-04-07,Naloxone 4 mg nasal spray,0
2023-04-08,Lisinopril 10 mg tablet,2
2023-04-08,Amlodipine 5 mg tablet,1
2023-04-08,Losartan 50 mg tablet,1
2023-04-08,Metformin 500 mg tablet,3
2023-04-08,Glipizide 5 mg tablet,0
2023-04-08,Atorvastatin 20 mg tablet,0
2023-04-08,Simvastatin 40 mg tablet,0
2023-04-08,Levothyroxine 50 mcg tablet,0
2023-04-08,Omeprazole 20 mg capsule,0
2023-04-08,Famotidine 20 mg tablet,1
2023-04-08,Albuterol HFA inhaler,0
2023-04-08,Fluticasone nasal spray,0
2023-04-08,Cetirizine 10 mg tablet,0
2023-04-08,Amoxicillin 500 mg capsule,1
2023-04-08,Amoxicillin-clavulanate 875/125 mg tablet,0
2023-04-08,Azithromycin 250 mg tablet,0
2023-04-08,Doxycycline 100 mg capsule,0
2023-04-08,Cephalexin 500 mg capsule,1
2023-04-08,Oseltamivir 75 mg capsule,0
2023-04-08,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-04-08,Prednisone 20 mg tablet,0
2023-04-08,Ibuprofen 200 mg tablet,0
2023-04-08,Acetaminophen 500 mg tablet,0
2023-04-08,Naproxen 500 mg tablet,0
2023-04-08,Gabapentin 300 mg capsule,1
2023-04-08,Sertraline 50 mg tablet,0
2023-04-08,Hydrochlorothiazide 25 mg tablet,0
2023-04-08,Insulin glargine 100 units/mL pen,0
2023-04-08,Semaglutide 0.25/0.5 mg pen,0
2023-04-08,Naloxone 4 mg nasal spray,0
2023-04-09,Lisinopril 10 mg tablet,0
2023-04-09,Amlodipine 5 mg tablet,1
2023-04-09,Losartan 50 mg tablet,0
2023-04-09,Metformin 500 mg tablet,0
2023-04-09,Glipizide 5 mg tablet,0
2023-04-09,Atorvastatin 20 mg tablet,0
2023-04-09,Simvastatin 40 mg tablet,0
2023-04-09,Levothyroxine 50 mcg tablet,0
2023-04-09,Omeprazole 20 mg capsule,0
2023-04-09,Famotidine 20 mg tablet,0
2023-04-09,Albuterol HFA inhaler,0
2023-04-09,Fluticasone nasal spray,0
2023-04-09,Cetirizine 10 mg tablet,0
2023-04-09,Amoxicillin 500 mg capsule,1
2023-04-09,Amoxicillin-clavulanate 875/125 mg tablet,0
2023-04-09,Azithromycin 250 mg tablet,0
2023-04-09,Doxycycline 100 mg capsule,0
2023-04-09,Cephalexin 500 mg capsule,0
2023-04-09,Oseltamivir 75 mg capsule,0
2023-04-09,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-04-09,Prednisone 20 mg tablet,0
2023-04-09,Ibuprofen 200 mg tablet,0
2023-04-09,Acetaminophen 500 mg tablet,0
2023-04-09,Naproxen 500 mg tablet,0
2023-04-09,Gabapentin 300 mg capsule,0
2023-04-09,Sertraline 50 mg tablet,1
2023-04-09,Hydrochlorothiazide 25 mg tablet,1
2023-04-09,Insulin glargine 100 units/mL pen,1
2023-04-09,Semaglutide 0.25/0.5 mg pen,0
2023-04-09,Naloxone 4 mg nasal spray,0
2023-04-10,Lisinopril 10 mg tablet,13
2023-04-10,Amlodipine 5 mg tablet,12
2023-04-10,Losartan 50 mg tablet,9
2023-04-10,Metformin 500 mg tablet,18
2023-04-10,Glipizide 5 mg tablet,2
2023-04-10,Atorvastatin 20 mg tablet,10
2023-04-10,Simvastatin 40 mg tablet,8
2023-04-10,Levothyroxine 50 mcg tablet,5
2023-04-10,Omeprazole 20 mg capsule,7
2023-04-10,Famotidine 20 mg tablet,4
2023-04-10,Albuterol HFA inhaler,7
2023-04-10,Fluticasone nasal spray,10
2023-04-10,Cetirizine 10 mg tablet,6
2023-04-10,Amoxicillin 500 mg capsule,6
2023-04-10,Amoxicillin-clavulanate 875/125 mg tablet,3
2023-04-10,Azithromycin 250 mg tablet,1
2023-04-10,Doxycycline 100 mg capsule,1
2023-04-10,Cephalexin 500 mg capsule,3
2023-04-10,Oseltamivir 75 mg capsule,1
2023-04-10,Nirmatrelvir/ritonavir 300/100 mg pack,1
2023-04-10,Prednisone 20 mg tablet,1
2023-04-10,Ibuprofen 200 mg tablet,7
2023-04-10,Acetaminophen 500 mg tablet,12
2023-04-10,Naproxen 500 mg tablet,7
2023-04-10,Gabapentin 300 mg capsule,6
2023-04-10,Sertraline 50 mg tablet,3
2023-04-10,Hydrochlorothiazide 25 mg tablet,6
2023-04-10,Insulin glargine 100 units/mL pen,0
2023-04-10,Semaglutide 0.25/0.5 mg pen,0
2023-04-10,Naloxone 4 mg nasal spray,1
2023-04-11,Lisinopril 10 mg tablet,8
2023-04-11,Amlodipine 5 mg tablet,11
2023-04-11,Losartan 50 mg tablet,12
2023-04-11,Metformin 500 mg tablet,4
2023-04-11,Glipizide 5 mg tablet,2
2023-04-11,Atorvastatin 20 mg tablet,4
2023-04-11,Simvastatin 40 mg tablet,3
2023-04-11,Levothyroxine 50 mcg tablet,6
2023-04-11,Omeprazole 20 mg capsule,4
2023-04-11,Famotidine 20 mg tablet,0
2023-04-11,Albuterol HFA inhaler,3
2023-04-11,Fluticasone nasal spray,4
2023-04-11,Cetirizine 10 mg tablet,13
2023-04-11,Amoxicillin 500 mg capsule,1
2023-04-11,Amoxicillin-clavulanate 875/125 mg tablet,1
2023-04-11,Azithromycin 250 mg tablet,5
2023-04-11,Doxycycline 100 mg capsule,4
2023-04-11,Cephalexin 500 mg capsule,2
2023-04-11,Oseltamivir 75 mg capsule,0
2023-04-11,Nirmatrelvir/ritonavir 300/100 mg pack,1
2023-04-11,Prednisone 20 mg tablet,10
2023-04-11,Ibuprofen 200 mg tablet,10
2023-04-11,Acetaminophen 500 mg tablet,9
2023-04-11,Naproxen 500 mg tablet,8
2023-04-11,Gabapentin 300 mg capsule,7
2023-04-11,Sertraline 50 mg tablet,4
2023-04-11,Hydrochlorothiazide 25 mg tablet,10
2023-04-11,Insulin glargine 100 units/mL pen,0
2023-04-11,Semaglutide 0.25/0.5 mg pen,0
2023-04-11,Naloxone 4 mg nasal spray,1
2023-04-12,Lisinopril 10 mg tablet,10
2023-04-12,Amlodipine 5 mg tablet,8
2023-04-12,Losartan 50 mg tablet,2
2023-04-12,Metformin 500 mg tablet,9
2023-04-12,Glipizide 5 mg tablet,3
2023-04-12,Atorvastatin 20 mg tablet,5
2023-04-12,Simvastatin 40 mg tablet,6
2023-04-12,Levothyroxine 50 mcg tablet,11
2023-04-12,Omeprazole 20 mg capsule,7
2023-04-12,Famotidine 20 mg tablet,5
2023-04-12,Albuterol HFA inhaler,3
2023-04-12,Fluticasone nasal spray,6
2023-04-12,Cetirizine 10 mg tablet,10
2023-04-12,Amoxicillin 500 mg capsule,5
2023-04-12,Amoxicillin-clavulanate 875/125 mg tablet,3
2023-04-12,Azithromycin 250 mg tablet,2
2023-04-12,Doxycycline 100 mg capsule,2
2023-04-12,Cephalexin 500 mg capsule,1
2023-04-12,Oseltamivir 75 mg capsule,1
2023-04-12,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-04-12,Prednisone 20 mg tablet,3
2023-04-12,Ibuprofen 200 mg tablet,7
2023-04-12,Acetaminophen 500 mg tablet,18
2023-04-12,Naproxen 500 mg tablet,5
2023-04-12,Gabapentin 300 mg capsule,1
2023-04-12,Sertraline 50 mg tablet,7
2023-04-12,Hydrochlorothiazide 25 mg tablet,5
2023-04-12,Insulin glargine 100 units/mL pen,0
2023-04-12,Semaglutide 0.25/0.5 mg pen,0
2023-04-12,Naloxone 4 mg nasal spray,0
2023-04-13,Lisinopril 10 mg tablet,11
2023-04-13,Amlodipine 5 mg tablet,5
2023-04-13,Losartan 50 mg tablet,6
2023-04-13,Metformin 500 mg tablet,4
2023-04-13,Glipizide 5 mg tablet,0
2023-04-13,Atorvastatin 20 mg tablet,9
2023-04-13,Simvastatin 40 mg tablet,1
2023-04-13,Levothyroxine 50 mcg tablet,7
2023-04-13,Omeprazole 20 mg capsule,10
2023-04-13,Famotidine 20 mg tablet,3
2023-04-13,Albuterol HFA inhaler,5
2023-04-13,Fluticasone nasal spray,4
2023-04-13,Cetirizine 10 mg tablet,7
2023-04-13,Amoxicillin 500 mg capsule,5
2023-04-13,Amoxicillin-clavulanate 875/125 mg tablet,1
2023-04-13,Azithromycin 250 mg tablet,3
2023-04-13,Doxycycline 100 mg capsule,1
2023-04-13,Cephalexin 500 mg capsule,4
2023-04-13,Oseltamivir 75 mg capsule,0
2023-04-13,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-04-13,Prednisone 20 mg tablet,5
2023-04-13,Ibuprofen 200 mg tablet,14
2023-04-13,Acetaminophen 500 mg tablet,15
2023-04-13,Naproxen 500 mg tablet,5
2023-04-13,Gabapentin 300 mg capsule,7
2023-04-13,Sertraline 50 mg tablet,6
2023-04-13,Hydrochlorothiazide 25 mg tablet,7
2023-04-13,Insulin glargine 100 units/mL pen,1
2023-04-13,Semaglutide 0.25/0.5 mg pen,0
2023-04-13,Naloxone 4 mg nasal spray,0
2023-04-14,Lisinopril 10 mg tablet,10
2023-04-14,Amlodipine 5 mg tablet,8
2023-04-14,Losartan 50 mg tablet,6
2023-04-14,Metformin 500 mg tablet,7
2023-04-14,Glipizide 5 mg tablet,1
2023-04-14,Atorvastatin 20 mg tablet,9
2023-04-14,Simvastatin 40 mg tablet,5
2023-04-14,Levothyroxine 50 mcg tablet,3
2023-04-14,Omeprazole 20 mg capsule,10
2023-04-14,Famotidine 20 mg tablet,7
2023-04-14,Albuterol HFA inhaler,2
2023-04-14,Fluticasone nasal spray,4
2023-04-14,Cetirizine 10 mg tablet,8
2023-04-14,Amoxicillin 500 mg capsule,1
2023-04-14,Amoxicillin-clavulanate 875/125 mg tablet,0
2023-04-14,Azithromycin 250 mg tablet,3
2023-04-14,Doxycycline 100 mg capsule,2
2023-04-14,Cephalexin 500 mg capsule,5
2023-04-14,Oseltamivir 75 mg capsule,0
2023-04-14,Nirmatrelvir/ritonavir 300/100 mg pack,1
2023-04-14,Prednisone 20 mg tablet,1
2023-04-14,Ibuprofen 200 mg tablet,6
2023-04-14,Acetaminophen 500 mg tablet,8
2023-04-14,Naproxen 500 mg tablet,4
2023-04-14,Gabapentin 300 mg capsule,4
2023-04-14,Sertraline 50 mg tablet,4
2023-04-14,Hydrochlorothiazide 25 mg tablet,6
2023-04-14,Insulin glargine 100 units/mL pen,1
2023-04-14,Semaglutide 0.25/0.5 mg pen,0
2023-04-14,Naloxone 4 mg nasal spray,1
2023-04-15,Lisinopril 10 mg tablet,0
2023-04-15,Amlodipine 5 mg tablet,1
2023-04-15,Losartan 50 mg tablet,2
2023-04-15,Metformin 500 mg tablet,1
2023-04-15,Glipizide 5 mg tablet,0
2023-04-15,Atorvastatin 20 mg tablet,0
2023-04-15,Simvastatin 40 mg tablet,0
2023-04-15,Levothyroxine 50 mcg tablet,0
2023-04-15,Omeprazole 20 mg capsule,0
2023-04-15,Famotidine 20 mg tablet,0
2023-04-15,Albuterol HFA inhaler,0
2023-04-15,Fluticasone nasal spray,1
2023-04-15,Cetirizine 10 mg tablet,1
2023-04-15,Amoxicillin 500 mg capsule,0
2023-04-15,Amoxicillin-clavulanate 875/125 mg tablet,0
2023-04-15,Azithromycin 250 mg tablet,0
2023-04-15,Doxycycline 100 mg capsule,0
2023-04-15,Cephalexin 500 mg capsule,0
2023-04-15,Oseltamivir 75 mg capsule,0
2023-04-15,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-04-15,Prednisone 20 mg tablet,0
2023-04-15,Ibuprofen 200 mg tablet,0
2023-04-15,Acetaminophen 500 mg tablet,0
2023-04-15,Naproxen 500 mg tablet,0
2023-04-15,Gabapentin 300 mg capsule,0
2023-04-15,Sertraline 50 mg tablet,1
2023-04-15,Hydrochlorothiazide 25 mg tablet,0
2023-04-15,Insulin glargine 100 units/mL pen,0
2023-04-15,Semaglutide 0.25/0.5 mg pen,0
2023-04-15,Naloxone 4 mg nasal spray,0
2023-04-16,Lisinopril 10 mg tablet,0
2023-04-16,Amlodipine 5 mg tablet,1
2023-04-16,Losartan 50 mg tablet,1
2023-04-16,Metformin 500 mg tablet,2
2023-04-16,Glipizide 5 mg tablet,0
2023-04-16,Atorvastatin 20 mg tablet,1
2023-04-16,Simvastatin 40 mg tablet,0
2023-04-16,Levothyroxine 50 mcg tablet,0
2023-04-16,Omeprazole 20 mg capsule,0
2023-04-16,Famotidine 20 mg tablet,0
2023-04-16,Albuterol HFA inhaler,0
2023-04-16,Fluticasone nasal spray,0
2023-04-16,Cetirizine 10 mg tablet,0
2023-04-16,Amoxicillin 500 mg capsule,0
2023-04-16,Amoxicillin-clavulanate 875/125 mg tablet,0
2023-04-16,Azithromycin 250 mg tablet,0
2023-04-16,Doxycycline 100 mg capsule,0
2023-04-16,Cephalexin 500 mg capsule,0
2023-04-16,Oseltamivir 75 mg capsule,0
2023-04-16,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-04-16,Prednisone 20 mg tablet,0
2023-04-16,Ibuprofen 200 mg tablet,1
2023-04-16,Acetaminophen 500 mg tablet,1
2023-04-16,Naproxen 500 mg tablet,0
2023-04-16,Gabapentin 300 mg capsule,0
2023-04-16,Sertraline 50 mg tablet,0
2023-04-16,Hydrochlorothiazide 25 mg tablet,0
2023-04-16,Insulin glargine 100 units/mL pen,0
2023-04-16,Semaglutide 0.25/0.5 mg pen,0
2023-04-16,Naloxone 4 mg nasal spray,0
2023-04-17,Lisinopril 10 mg tablet,11
2023-04-17,Amlodipine 5 mg tablet,11
2023-04-17,Losartan 50 mg tablet,11
2023-04-17,Metformin 500 mg tablet,5
2023-04-17,Glipizide 5 mg tablet,4
2023-04-17,Atorvastatin 20 mg tablet,8
2023-04-17,Simvastatin 40 mg tablet,5
2023-04-17,Levothyroxine 50 mcg tablet,10
2023-04-17,Omeprazole 20 mg capsule,8
2023-04-17,Famotidine 20 mg tablet,4
2023-04-17,Albuterol HFA inhaler,4
2023-04-17,Fluticasone nasal spray,8
2023-04-17,Cetirizine 10 mg tablet,3
2023-04-17,Amoxicillin 500 mg capsule,3
2023-04-17,Amoxicillin-clavulanate 875/125 mg tablet,0
2023-04-17,Azithromycin 250 mg tablet,3
2023-04-17,Doxycycline 100 mg capsule,1
2023-04-17,Cephalexin 500 mg capsule,5
2023-04-17,Oseltamivir 75 mg capsule,0
2023-04-17,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-04-17,Prednisone 20 mg tablet,4
2023-04-17,Ibuprofen 200 mg tablet,14
2023-04-17,Acetaminophen 500 mg tablet,8
2023-04-17,Naproxen 500 mg tablet,4
2023-04-17,Gabapentin 300 mg capsule,3
2023-04-17,Sertraline 50 mg tablet,6
2023-04-17,Hydrochlorothiazide 25 mg tablet,10
2023-04-17,Insulin glargine 100 units/mL pen,1
2023-04-17,Semaglutide 0.25/0.5 mg pen,0
2023-04-17,Naloxone 4 mg nasal spray,0
2023-04-18,Lisinopril 10 mg tablet,17
2023-04-18,Amlodipine 5 mg tablet,10
2023-04-18,Losartan 50 mg tablet,8
2023-04-18,Metformin 500 mg tablet,14
2023-04-18,Glipizide 5 mg tablet,1
2023-04-18,Atorvastatin 20 mg tablet,7
2023-04-18,Simvastatin 40 mg tablet,3
2023-04-18,Levothyroxine 50 mcg tablet,11
2023-04-18,Omeprazole 20 mg capsule,7
2023-04-18,Famotidine 20 mg tablet,3
2023-04-18,Albuterol HFA inhaler,3
2023-04-18,Fluticasone nasal spray,7
2023-04-18,Cetirizine 10 mg tablet,13
2023-04-18,Amoxicillin 500 mg capsule,3
2023-04-18,Amoxicillin-clavulanate 875/125 mg tablet,2
2023-04-18,Azithromycin 250 mg tablet,4
2023-04-18,Doxycycline 100 mg capsule,3
2023-04-18,Cephalexin 500 mg capsule,7
2023-04-18,Oseltamivir 75 mg capsule,0
2023-04-18,Nirmatrelvir/ritonavir 300/100 mg pack,1
2023-04-18,Prednisone 20 mg tablet,2
2023-04-18,Ibuprofen 200 mg tablet,9
2023-04-18,Acetaminophen 500 mg tablet,9
2023-04-18,Naproxen 500 mg tablet,1
2023-04-18,Gabapentin 300 mg capsule,2
2023-04-18,Sertraline 50 mg tablet,5
2023-04-18,Hydrochlorothiazide 25 mg tablet,9
2023-04-18,Insulin glargine 100 units/mL pen,3
2023-04-18,Semaglutide 0.25/0.5 mg pen,0
2023-04-18,Naloxone 4 mg nasal spray,0
2023-04-19,Lisinopril 10 mg tablet,7
2023-04-19,Amlodipine 5 mg tablet,9
2023-04-19,Losartan 50 mg tablet,7
2023-04-19,Metformin 500 mg tablet,15
2023-04-19,Glipizide 5 mg tablet,2
2023-04-19,Atorvastatin 20 mg tablet,9
2023-04-19,Simvastatin 40 mg tablet,1
2023-04-19,Levothyroxine 50 mcg tablet,7
2023-04-19,Omeprazole 20 mg capsule,12
2023-04-19,Famotidine 20 mg tablet,4
2023-04-19,Albuterol HFA inhaler,3
2023-04-19,Fluticasone nasal spray,4
2023-04-19,Cetirizine 10 mg tablet,12
2023-04-19,Amoxicillin 500 mg capsule,3
2023-04-19,Amoxicillin-clavulanate 875/125 mg tablet,0
2023-04-19,Azithromycin 250 mg tablet,2
2023-04-19,Doxycycline 100 mg capsule,2
2023-04-19,Cephalexin 500 mg capsule,3
2023-04-19,Oseltamivir 75 mg capsule,2
2023-04-19,Nirmatrelvir/ritonavir 300/100 mg pack,1
2023-04-19,Prednisone 20 mg tablet,1
2023-04-19,Ibuprofen 200 mg tablet,8
2023-04-19,Acetaminophen 500 mg tablet,8
2023-04-19,Naproxen 500 mg tablet,4
2023-04-19,Gabapentin 300 mg capsule,1
2023-04-19,Sertraline 50 mg tablet,6
2023-04-19,Hydrochlorothiazide 25 mg tablet,4
2023-04-19,Insulin glargine 100 units/mL pen,0
2023-04-19,Semaglutide 0.25/0.5 mg pen,0
2023-04-19,Naloxone 4 mg nasal spray,2
2023-04-20,Lisinopril 10 mg tablet,11
2023-04-20,Amlodipine 5 mg tablet,7
2023-04-20,Losartan 50 mg tablet,7
2023-04-20,Metformin 500 mg tablet,8
2023-04-20,Glipizide 5 mg tablet,6
2023-04-20,Atorvastatin 20 mg tablet,8
2023-04-20,Simvastatin 40 mg tablet,6
2023-04-20,Levothyroxine 50 mcg tablet,4
2023-04-20,Omeprazole 20 mg capsule,6
2023-04-20,Famotidine 20 mg tablet,11
2023-04-20,Albuterol HFA inhaler,3
2023-04-20,Fluticasone nasal spray,4
2023-04-20,Cetirizine 10 mg tablet,8
2023-04-20,Amoxicillin 500 mg capsule,5
2023-04-20,Amoxicillin-clavulanate 875/125 mg tablet,2
2023-04-20,Azithromycin 250 mg tablet,3
2023-04-20,Doxycycline 100 mg capsule,2
2023-04-20,Cephalexin 500 mg capsule,3
2023-04-20,Oseltamivir 75 mg capsule,0
2023-04-20,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-04-20,Prednisone 20 mg tablet,0
2023-04-20,Ibuprofen 200 mg tablet,5
2023-04-20,Acetaminophen 500 mg tablet,15
2023-04-20,Naproxen 500 mg tablet,4
2023-04-20,Gabapentin 300 mg capsule,6
2023-04-20,Sertraline 50 mg tablet,7
2023-04-20,Hydrochlorothiazide 25 mg tablet,8
2023-04-20,Insulin glargine 100 units/mL pen,0
2023-04-20,Semaglutide 0.25/0.5 mg pen,0
2023-04-20,Naloxone 4 mg nasal spray,0
2023-04-21,Lisinopril 10 mg tablet,11
2023-04-21,Amlodipine 5 mg tablet,8
2023-04-21,Losartan 50 mg tablet,2
2023-04-21,Metformin 500 mg tablet,6
2023-04-21,Glipizide 5 mg tablet,2
2023-04-21,Atorvastatin 20 mg tablet,6
2023-04-21,Simvastatin 40 mg tablet,2
2023-04-21,Levothyroxine 50 mcg tablet,4
2023-04-21,Omeprazole 20 mg capsule,5
2023-04-21,Famotidine 20 mg tablet,1
2023-04-21,Albuterol HFA inhaler,2
2023-04-21,Fluticasone nasal spray,5
2023-04-21,Cetirizine 10 mg tablet,4
2023-04-21,Amoxicillin 500 mg capsule,4
2023-04-21,Amoxicillin-clavulanate 875/125 mg tablet,3
2023-04-21,Azithromycin 250 mg tablet,2
2023-04-21,Doxycycline 100 mg capsule,2
2023-04-21,Cephalexin 500 mg capsule,0
2023-04-21,Oseltamivir 75 mg capsule,0
2023-04-21,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-04-21,Prednisone 20 mg tablet,0
2023-04-21,Ibuprofen 200 mg tablet,7
2023-04-21,Acetaminophen 500 mg tablet,15
2023-04-21,Naproxen 500 mg tablet,7
2023-04-21,Gabapentin 300 mg capsule,1
2023-04-21,Sertraline 50 mg tablet,1
2023-04-21,Hydrochlorothiazide 25 mg tablet,4
2023-04-21,Insulin glargine 100 units/mL pen,2
2023-04-21,Semaglutide 0.25/0.5 mg pen,0
2023-04-21,Naloxone 4 mg nasal spray,0
2023-04-22,Lisinopril 10 mg tablet,0
2023-04-22,Amlodipine 5 mg tablet,0
2023-04-22,Losartan 50 mg tablet,1
2023-04-22,Metformin 500 mg tablet,1
2023-04-22,Glipizide 5 mg tablet,1
2023-04-22,Atorvastatin 20 mg tablet,0
2023-04-22,Simvastatin 40 mg tablet,0
2023-04-22,Levothyroxine 50 mcg tablet,2
2023-04-22,Omeprazole 20 mg capsule,0
2023-04-22,Famotidine 20 mg tablet,0
2023-04-22,Albuterol HFA inhaler,3
2023-04-22,Fluticasone nasal spray,0
2023-04-22,Cetirizine 10 mg tablet,1
2023-04-22,Amoxicillin 500 mg capsule,0
2023-04-22,Amoxicillin-clavulanate 875/125 mg tablet,0
2023-04-22,Azithromycin 250 mg tablet,1
2023-04-22,Doxycycline 100 mg capsule,0
2023-04-22,Cephalexin 500 mg capsule,0
2023-04-22,Oseltamivir 75 mg capsule,0
2023-04-22,Nirmatrelvir/ritonavir 300/100 mg pack,0
2023-04-22,Prednisone 20 mg tablet,0
2023-04-22,Ibuprofen 200 mg tablet,0
2023-04-22,Acetaminophen 500 mg tablet,1
2023-04-22,Naproxen 500 mg tablet,1
2023-04-22,Gabapentin 300 mg capsule,0
2023-04-22,Sertraline 50 mg tablet,0
2023-04-22,Hydrochlorothiazide 25 mg tablet,0
2023-04-22,Insulin glargine 100 units/mL pen,0
